ID,año,subsector,categoria_generador,categoria_residuo,tipo_residuo,generacion_estimada,estado_etiqueta
1,2017,petrolero,microgenerador,residuos de hidrocarburos,otros,1.22,Aguascalientes
1,2017,petrolero,microgenerador,residuos de hidrocarburos,residuos de hidrocarburos,0.04,Aguascalientes
1,2017,petrolero,microgenerador,líquidos de proceso,agua contaminada,0.09,Aguascalientes
1,2017,petrolero,microgenerador,lodos aceitosos,residuos de hidrocarburos,1.08,Aguascalientes
1,2017,petrolero,microgenerador,sólidos,sólidos contaminados,3.12,Aguascalientes
1,2017,petrolero,pequeño generador,aceites gastados,aceites lubricantes,0.58,Aguascalientes
1,2017,petrolero,pequeño generador,residuos de hidrocarburos,residuos de hidrocarburos,0.16,Aguascalientes
1,2017,petrolero,pequeño generador,líquidos de proceso,agua contaminada,2.55,Aguascalientes
1,2017,petrolero,pequeño generador,lodos,lodos,8.52,Aguascalientes
1,2017,petrolero,pequeño generador,lodos aceitosos,residuos de hidrocarburos,1.46,Aguascalientes
1,2017,petrolero,pequeño generador,sólidos,sólidos contaminados,2.42,Aguascalientes
1,2017,petrolero,pequeño generador,sólidos,otros,0.05,Aguascalientes
1,2017,petrolero,pequeño generador,solventes,solventes,0.03,Aguascalientes
1,2018,petrolífero,microgenerador,aceites gastados,aceites gastados,0.2,Aguascalientes
1,2018,petrolífero,microgenerador,aceites gastados,aceites gastados,0.31,Aguascalientes
1,2018,petrolífero,microgenerador,filtros contaminados,filtros contaminados,0.1,Aguascalientes
1,2018,petrolífero,microgenerador,residuos de hidrocarburos,residuos de hidrocarburos,1.69,Aguascalientes
1,2018,petrolífero,microgenerador,lámparas fluorescentes,otros,0.0,Aguascalientes
1,2018,petrolífero,microgenerador,líquidos de proceso,lodos,0.11,Aguascalientes
1,2018,petrolífero,microgenerador,lodos contaminados con hidrocarburos,lodos,3.2,Aguascalientes
1,2018,petrolífero,microgenerador,lodos contaminados con hidrocarburos,lodos contaminados con hidrocarburos,0.71,Aguascalientes
1,2018,petrolífero,microgenerador,sólidos contaminados,sólidos contaminados,4.15,Aguascalientes
1,2018,petrolífero,pequeño generador,aceites gastados,aceites gastados,1.35,Aguascalientes
1,2018,petrolífero,pequeño generador,baterías alcalinas,baterías y pilas,0.01,Aguascalientes
1,2018,petrolífero,pequeño generador,filtros contaminados,filtros contaminados,0.58,Aguascalientes
1,2018,petrolífero,pequeño generador,lámparas fluorescentes,otros,0.06,Aguascalientes
1,2018,petrolífero,pequeño generador,líquidos de proceso,agua contaminada,24.4,Aguascalientes
1,2018,petrolífero,pequeño generador,lodos contaminados con hidrocarburos,lodos contaminados con hidrocarburos,39.67,Aguascalientes
1,2018,petrolífero,pequeño generador,lodos contaminados con hidrocarburos,lodos contaminados con hidrocarburos,0.11,Aguascalientes
1,2018,petrolífero,pequeño generador,baterías y pilas,baterías y pilas,0.06,Aguascalientes
1,2018,petrolífero,pequeño generador,sólidos contaminados,sólidos contaminados,4.03,Aguascalientes
1,2018,petrolífero,pequeño generador,sólidos contaminados,sólidos contaminados,0.19,Aguascalientes
1,2019,petrolífero,microgenerador,aceites gastados,aceites hidráulicos,0.0,Aguascalientes
1,2019,petrolífero,microgenerador,aceites gastados,aceites lubricantes,0.0,Aguascalientes
1,2019,petrolífero,microgenerador,residuos de hidrocarburos,residuos de hidrocarburos,0.1564,Aguascalientes
1,2019,petrolífero,microgenerador,líquidos de proceso,otros,0.0476,Aguascalientes
1,2019,petrolífero,microgenerador,lodos,lodos,0.085,Aguascalientes
1,2019,petrolífero,microgenerador,lodos,lodos,0.0,Aguascalientes
1,2019,petrolífero,microgenerador,sólidos,sólidos contaminados,0.181,Aguascalientes
1,2019,petrolífero,microgenerador,sólidos,filtros contaminados,0.0,Aguascalientes
1,2019,petrolífero,microgenerador,sólidos,otros,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,aceites gastados,aceites lubricantes,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,baterías y pilas,baterías y pilas,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,baterías y pilas,baterías y pilas,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,líquidos de proceso,otros,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,lodos,lodos,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,lodos,lodos,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,sólidos,sólidos contaminados,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,sólidos,sólidos contaminados,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,sólidos,filtros contaminados,0.0,Aguascalientes
1,2019,petrolífero,pequeño generador,sólidos,otros,0.0,Aguascalientes
1,2020,petrolífero,microgenerador,aceites lubricantes,aceites gastados,0.24,Aguascalientes
1,2020,petrolífero,microgenerador,líquidos de proceso,agua contaminada,0.015,Aguascalientes
1,2020,petrolífero,microgenerador,residuos de hidrocarburos,residuos de hidrocarburos,0.22,Aguascalientes
1,2020,petrolífero,microgenerador,lámparas fluorescentes,otros,0.0036,Aguascalientes
1,2020,petrolífero,microgenerador,sólidos,sólidos contaminados,1.916,Aguascalientes
1,2020,petrolífero,microgenerador,lodos,lodos,1.017,Aguascalientes
1,2020,petrolífero,pequeño generador,aceites lubricantes,aceites gastados,0.9968,Aguascalientes
1,2020,petrolífero,pequeño generador,líquidos de proceso,agua contaminada,28.55,Aguascalientes
1,2020,petrolífero,pequeño generador,residuos de hidrocarburos,residuos de hidrocarburos,0.98,Aguascalientes
1,2020,petrolífero,pequeño generador,lámparas fluorescentes,otros,0.909,Aguascalientes
1,2020,petrolífero,pequeño generador,sólidos,sólidos contaminados,1.8195,Aguascalientes
1,2020,petrolífero,pequeño generador,baterías y pilas,baterías y pilas,0.031,Aguascalientes
1,2020,petrolífero,pequeño generador,lodos,lodos,1.603,Aguascalientes
1,2021,petrolífero,microgenerador,aceites gastados,aceites lubricantes,0.24,Aguascalientes
1,2021,petrolífero,microgenerador,residuos de hidrocarburos,residuos de hidrocarburos,0.22,Aguascalientes
1,2021,petrolífero,microgenerador,otros,agua contaminada,0.02,Aguascalientes
1,2021,petrolífero,microgenerador,sólidos,sólidos contaminados,1.92,Aguascalientes
1,2021,petrolífero,microgenerador,sólidos,otros,0.0,Aguascalientes
1,2021,petrolífero,microgenerador,lodos,lodos,1.02,Aguascalientes
1,2021,petrolífero,pequeño generador,aceites gastados,aceites lubricantes,1.0,Aguascalientes
1,2021,petrolífero,pequeño generador,baterías y pilas,baterías y pilas,0.03,Aguascalientes
1,2021,petrolífero,pequeño generador,residuos de hidrocarburos,residuos de hidrocarburos,0.98,Aguascalientes
1,2021,petrolífero,pequeño generador,otros,agua contaminada,28.55,Aguascalientes
1,2021,petrolífero,pequeño generador,sólidos,sólidos contaminados,1.82,Aguascalientes
1,2021,petrolífero,pequeño generador,sólidos,otros,0.91,Aguascalientes
1,2021,petrolífero,pequeño generador,lodos,lodos,1.6,Aguascalientes
1,2022,petrolífero,microgenerador,aceites gastados,aceites lubricantes,0.26,Aguascalientes
1,2022,petrolífero,microgenerador,residuos de hidrocarburos,residuos de hidrocarburos,0.0,Aguascalientes
