id_entidad_federaativa,entidad_federativa,municipio,anio,subsector,categoria_generador,categoria_residuo,tipo_residuo,generacion_estimada,entidad_federativa_etq
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices",Pequeño Generador,1.22,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Mezclas de combustibles sucios, mezclas de hidrocarburos, naftas",0.04,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,Liquidos de proceso,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.09,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,Lodos aceitosos,"Con contaminacion de hidrocarburos, combustibles, aceite",1.08,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Microgenerador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",3.12,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Aceites gastados,Lubricantes,0.58,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Mezclas de combustibles sucios, mezclas de hidrocarburos, naftas",0.16,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Liquidos de proceso,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa",2.55,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Lodos,Lodos provenientes de tanques de almacenaniento,8.52,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Lodos aceitosos,"Con contaminacion de hidrocarburos, combustibles, aceite",1.46,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",2.42,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,Lampara fluorescentes,0.05,Aguascalientes
1,Aguascalientes,Sin Dato,2017,Petrolero,Pequeno Generador,Solventes,Solventes organicos usados,0.03,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Aceites gastados (Hidraulicos),Aceite gastado hidraulico,0.2,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,0.31,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Filtro de aire o aceite contaminados,Filtro de aire o aceite contaminados,0.1,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Diesel y gasolina sucias,"Gasolina, Diesel y Naftas gastados o sucios provenientes de Estaciones de Servicio y Talleres Automotrices",1.69,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Liquidos residuales de proceso no corrosivos,Residuos de trampas liquido,0.11,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos desechos de trampa,3.2,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,0.71,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite",4.15,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,1.35,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Baterias alcalinas,Pilas alcalinas,0.01,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Filtro de aire o aceite contaminados,Filtro de aire o aceite contaminados,0.58,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,0.06,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Liquidos residuales de proceso no corrosivos,Agua contaminada con hidrocarburos,24.4,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos aceitosos de trampa,39.67,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,0.11,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Pilas o Baterias con Litio o Cadmio,Pilas Niquel-Cadmio,0.06,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite",4.03,Aguascalientes
1,Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con pinturas o solventes diversos,"Envases, botes, cubetas, contenedores, trapos, guantes, carton, EPP, carton, envases, franelas, filtros impregnados",0.19,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,hidraulicos,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,Lubricantes,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0.1564,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Liquidos de proceso,No corrosivos,0.0476,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Lodos,Lodos aceitosos,0.085,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Lodos,Lodos procedentes de trampas de grasas e hidrocarburos,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.181,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,Filtro de aire o de aceite contaminados,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,Lámpara fluorescentes,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Aceites gastados,Lubricantes,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,"Baterias, celdas y pilas",Pilas alcalinas,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,"Baterias, celdas y pilas",Pilas o baterias de Niquel - Cadmio,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Liquidos de proceso,Liquidos con residuos de hidrocarburos,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Lodos,Lodos aceitosos,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Lodos,Lodos procedentes de trampas de grasas e hidrocarburos,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,"Botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,Filtro de aire o de aceite contaminados,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,Lámpara fluorescentes,0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Aceites lubricantes,Aceites gastados lubricantes,0.24,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Líquidos de proceso,Aguas aceitosas,0.015,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,"Gasollina, diésel y naftas gastados","Gasollina, diésel y naftas gastados",0.22,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Lámparas fluorescentes y de vapor de mercurio,Lámparas fluorescentes y de vapor de mercurio,0.0036,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.916,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Lodos,Lodos aceitosos,1.017,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Aceites lubricantes,Aceites gastados lubricantes,0.9968,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Líquidos de proceso,Aguas aceitosas,28.55,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,"Gasollina, diésel y naftas gastados","Gasollina, diésel y naftas gastados",0.98,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Lámparas fluorescentes y de vapor de mercurio,Lámparas fluorescentes y de vapor de mercurio,0.909,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.8195,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,"Baterias, pilas y balastras","Baterias, pilas y balastras",0.031,Aguascalientes
1,Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Lodos,Lodos aceitosos,1.603,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Aceites gastados,Lubricantes,0.24,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0.22,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Otros,"Agua oleosa, agua contaminada",0.02,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.92,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Residuos solidos,"Lámparas fluorescentes, lámparas de vapor de mercurio",0.0,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Lodos,Lodos aceitosos,1.02,Aguascalientes
1,Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,Aceites gastados,Lubricantes,1.0,Aguascalientes
